Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"A Dugan, D McKinley, S Amiot, L Onofrio, J Maziasz, ...","Forest Carbon Assessment for the Chequamegon-Nicolet National Forest in the Forest Service's Eastern Region",,"elpc.org","","https://elpc.org/wp-content/uploads/2024/08/5.303_CNNF_CarbonAssessment-Paper.pdf","",18,"2025-09-15 07:45:38","PDF","","","",,,,,0,0.00,0,6,,"… A low amount of mature and old-growth stands indicated on the Chequamegon-Nicolet NF by data on the Climate Risk Viewer indicates the acreage of these forest conditions within the …","https://elpc.org/wp-content/uploads/2024/08/5.303_CNNF_CarbonAssessment-Paper.pdf","https://scholar.google.com/scholar?q=related:9f-IcJ3trOEJ:scholar.google.com/&scioq=%22climate+risk+viewer%22%7C%22usda+climate+risk+viewer%22%7C%22forest+service+climate+risk+viewer%22%7C%22usfs+climate+risk+viewer%22%7C%22climate+risk+mapping+tool+usda%22%7C%22usda+risk+viewer+climate%22%7C%22usda+climate+risk+tool%22%7C%22climate+risk+beta+viewer%22&hl=en&as_sdt=2007&as_ylo=2023&as_yhi=2025"
0,"A Soroka, E Peresunko, E Semyonova, ...","Program system for climate risk assessment in forestry",2024,"BIO Web of …","bio-conferences.org","https://www.bio-conferences.org/articles/bioconf/abs/2024/64/bioconf_ForestryForum2024_04005/bioconf_ForestryForum2024_04005.html","",1,"2025-09-15 07:45:38","","","","",,,,,0,0.00,0,4,1,"The paper presents the main aspects of the development and implementation of a system that allows predicting climate risks for forestry on the basis of retrospective and forecast data. …","https://www.bio-conferences.org/articles/bioconf/pdf/2024/64/bioconf_ForestryForum2024_04005.pdf","https://scholar.google.com/scholar?q=related:Grwt7uFC8j4J:scholar.google.com/&scioq=%22climate+risk+viewer%22%7C%22usda+climate+risk+viewer%22%7C%22forest+service+climate+risk+viewer%22%7C%22usfs+climate+risk+viewer%22%7C%22climate+risk+mapping+tool+usda%22%7C%22usda+risk+viewer+climate%22%7C%22usda+climate+risk+tool%22%7C%22climate+risk+beta+viewer%22&hl=en&as_sdt=2007&as_ylo=2023&as_yhi=2025"
7,"AD Bower, KL Frerker, CC Pike, NR Labonte, ...","A practical framework for applied forestry assisted migration",2024,"Frontiers in Forests …","frontiersin.org","https://www.frontiersin.org/journals/forests-and-global-change/articles/10.3389/ffgc.2024.1454329/full","https://scholar.google.com/scholar?cites=16409287794271019262&as_sdt=2005&sciodt=2007&hl=en",11,"2025-09-15 07:45:38","","10.3389/ffgc.2024.1454329","","",,,,,7,7.00,1,5,1,"Recent and projected changes in climate over this century pose an unprecedented threat to the health, diversity, and productivity of forest ecosystems. Forests have migrated and …","https://www.frontiersin.org/journals/forests-and-global-change/articles/10.3389/ffgc.2024.1454329/pdf","https://scholar.google.com/scholar?q=related:_mCtCk-AueMJ:scholar.google.com/&scioq=%22climate+risk+viewer%22%7C%22usda+climate+risk+viewer%22%7C%22forest+service+climate+risk+viewer%22%7C%22usfs+climate+risk+viewer%22%7C%22climate+risk+mapping+tool+usda%22%7C%22usda+risk+viewer+climate%22%7C%22usda+climate+risk+tool%22%7C%22climate+risk+beta+viewer%22&hl=en&as_sdt=2007&as_ylo=2023&as_yhi=2025"
0,"D O'Kane, JM Maeso","The Impact of Climate Change News on Low-Minus-High Carbon Intensity Portfolios",2023,"Available at SSRN 4812120","papers.ssrn.com","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4812120","",8,"2025-09-15 07:45:38","PDF","","","",,,,,0,0.00,0,2,2,"Using a variety of language models and high-quality English-language newspaper sources, we construct an unexpected climate news index (UCNI) for each model and source. We …","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4812120","https://scholar.google.com/scholar?q=related:eWRSBAhB8wMJ:scholar.google.com/&scioq=%22climate+risk+viewer%22%7C%22usda+climate+risk+viewer%22%7C%22forest+service+climate+risk+viewer%22%7C%22usfs+climate+risk+viewer%22%7C%22climate+risk+mapping+tool+usda%22%7C%22usda+risk+viewer+climate%22%7C%22usda+climate+risk+tool%22%7C%22climate+risk+beta+viewer%22&hl=en&as_sdt=2007&as_ylo=2023&as_yhi=2025"
0,"DC Bragg","Some silvicultural implications of updating the southern region's old-growth guidance",2024,"","research.fs.usda.gov","https://research.fs.usda.gov/treesearch/68009","",15,"2025-09-15 07:45:38","","","","",,,,,0,0.00,0,1,1,"The US Department of Agriculture, Forest Service’s Southern Region, in conjunction with the Southern Research Station (SRS), has chartered a formal team of managers, planners, and …","https://research.fs.usda.gov/treesearch/download/68009.pdf","https://scholar.google.com/scholar?q=related:eqKEaf6uj9gJ:scholar.google.com/&scioq=%22climate+risk+viewer%22%7C%22usda+climate+risk+viewer%22%7C%22forest+service+climate+risk+viewer%22%7C%22usfs+climate+risk+viewer%22%7C%22climate+risk+mapping+tool+usda%22%7C%22usda+risk+viewer+climate%22%7C%22usda+climate+risk+tool%22%7C%22climate+risk+beta+viewer%22&hl=en&as_sdt=2007&as_ylo=2023&as_yhi=2025"
0,"DM Coogan","Re: Polaris Mineral Exploration Project EA Scoping Comments",2024,"","friendsoftheinyo.org","https://friendsoftheinyo.org/wp-content/uploads/2024/06/Polaris.pdf","",23,"2025-09-15 07:45:38","PDF","","","",,,,,0,0.00,0,1,1,"1. Background Humboldt-Toiyabe National Forest is preparing an Environmental Assessment (EA) under the National Environmental Policy Act (NEPA) in response to the submission of …","https://friendsoftheinyo.org/wp-content/uploads/2024/06/Polaris.pdf","https://scholar.google.com/scholar?q=related:StZiGGSTbrsJ:scholar.google.com/&scioq=%22climate+risk+viewer%22%7C%22usda+climate+risk+viewer%22%7C%22forest+service+climate+risk+viewer%22%7C%22usfs+climate+risk+viewer%22%7C%22climate+risk+mapping+tool+usda%22%7C%22usda+risk+viewer+climate%22%7C%22usda+climate+risk+tool%22%7C%22climate+risk+beta+viewer%22&hl=en&as_sdt=2007&as_ylo=2023&as_yhi=2025"
234,"G Bua, D Kapp, F Ramella, ...","Transition versus physical climate risk pricing in European financial markets: A text-based approach",2024,"The European Journal of …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/1351847X.2024.2355103","https://scholar.google.com/scholar?cites=4932062984936490780&as_sdt=2005&sciodt=2007&hl=en",7,"2025-09-15 07:45:38","","10.1080/1351847X.2024.2355103","","",,,,,234,234.00,59,4,1,"Under its climate regulation, the EU is expected to become the first continent with a net-zero emissions balance. We study the pricing of climate risks, physical and transition, within …","https://www.tandfonline.com/doi/pdf/10.1080/1351847X.2024.2355103","https://scholar.google.com/scholar?q=related:HAf-Uic1ckQJ:scholar.google.com/&scioq=%22climate+risk+viewer%22%7C%22usda+climate+risk+viewer%22%7C%22forest+service+climate+risk+viewer%22%7C%22usfs+climate+risk+viewer%22%7C%22climate+risk+mapping+tool+usda%22%7C%22usda+risk+viewer+climate%22%7C%22usda+climate+risk+tool%22%7C%22climate+risk+beta+viewer%22&hl=en&as_sdt=2007&as_ylo=2023&as_yhi=2025"
1,"G Verdickt","Climate Extrapolation and Relative Asset Pricing: Evidence from Bordeaux Premier Cru Wine Auctions",2025,"Available at SSRN 5386662","papers.ssrn.com","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5386662","https://scholar.google.com/scholar?cites=4863583491843818428&as_sdt=2005&sciodt=2007&hl=en",17,"2025-09-15 07:45:38","","","","",,,,,1,1.00,1,1,1,"This paper offers evidence for climate extrapolation, a behavioral tendency where economic agents project salient local climate risks onto an asset's valuation. Using a new dataset of …","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=5386662","https://scholar.google.com/scholar?q=related:vAPO3mrrfkMJ:scholar.google.com/&scioq=%22climate+risk+viewer%22%7C%22usda+climate+risk+viewer%22%7C%22forest+service+climate+risk+viewer%22%7C%22usfs+climate+risk+viewer%22%7C%22climate+risk+mapping+tool+usda%22%7C%22usda+risk+viewer+climate%22%7C%22usda+climate+risk+tool%22%7C%22climate+risk+beta+viewer%22&hl=en&as_sdt=2007&as_ylo=2023&as_yhi=2025"
13,"H Ben Ameur, D Dao, Z Ftiti, W Louhichi","Perceived climate risk and stock prices: An empirical analysis of pricing effects",2024,"Risk Analysis","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/risa.17683","https://scholar.google.com/scholar?cites=15578767031400282564&as_sdt=2005&sciodt=2007&hl=en",4,"2025-09-15 07:45:38","","10.1111/risa.17683","","",,,,,13,13.00,3,4,1,"… climate risk beta for each stock and sorted the stocks weekly based on their perceived climate risk beta, … of stocks with the highest perceived climate risk beta and short positions in the …","https://strathprints.strath.ac.uk/91675/7/Ameur-etal-RA-2024-Perceived-climate-risk-and-stock-prices.pdf","https://scholar.google.com/scholar?q=related:xDkuQRPmMtgJ:scholar.google.com/&scioq=%22climate+risk+viewer%22%7C%22usda+climate+risk+viewer%22%7C%22forest+service+climate+risk+viewer%22%7C%22usfs+climate+risk+viewer%22%7C%22climate+risk+mapping+tool+usda%22%7C%22usda+risk+viewer+climate%22%7C%22usda+climate+risk+tool%22%7C%22climate+risk+beta+viewer%22&hl=en&as_sdt=2007&as_ylo=2023&as_yhi=2025"
6,"H Jung, R Engle, S Ge, X Zeng","Physical climate risk factors and an application to measuring insurers' climate risk exposure",2024,"FRB of New York Staff …","cebra.s3.amazonaws.com","http://cebra.s3.amazonaws.com/s3fs-private/papers/Measuring_Insurers__Climate_Risk_JEGZ_Mar2025-compressed.pdf","https://scholar.google.com/scholar?cites=14399380152096382116&as_sdt=2005&sciodt=2007&hl=en",3,"2025-09-15 07:45:38","PDF","","","",,,,,6,6.00,2,4,1,"We construct a novel physical risk factor using a portfolio of REITs, long on those with properties highly exposed to climate risk and short on those with less exposure. Combined with a …","http://cebra.s3.amazonaws.com/s3fs-private/papers/Measuring_Insurers__Climate_Risk_JEGZ_Mar2025-compressed.pdf","https://scholar.google.com/scholar?q=related:pNyDB_Xf1McJ:scholar.google.com/&scioq=%22climate+risk+viewer%22%7C%22usda+climate+risk+viewer%22%7C%22forest+service+climate+risk+viewer%22%7C%22usfs+climate+risk+viewer%22%7C%22climate+risk+mapping+tool+usda%22%7C%22usda+risk+viewer+climate%22%7C%22usda+climate+risk+tool%22%7C%22climate+risk+beta+viewer%22&hl=en&as_sdt=2007&as_ylo=2023&as_yhi=2025"
