cites,authors,title,year,source,publisher,article_url,cites_url,gs_rank,query_date,type,doi,ecc,cites_per_year,cites_per_author,author_count,age,abstract,full_text_url,related_url,source_file,tool_name,study_id,double_code,topic_cat,tool_use_type,publisher_type,publisher_description
4,"H Kryczka, N Ospina, T Thomas",New Steps Toward Environmental Justice: The California Coastal Act and Environmental Justice near Ports,2020,Sw. L. Rev.,HeinOnline,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/swulr50&section=31,https://scholar.google.com/scholar?cites=9530299112420584754&as_sdt=2005&sciodt=2007&hl=en,13,2025-08-29,NA,NA,4,0.8,1,3,5,"California's coast is home to several seaports of varying sizes, each with an individual history of development and community advocacy deserving of its own article. One thing ports tend …",http://rss.swlaw.edu/sites/default/files/2022-09/5%20_Kryczka%20Ospina%20Thomas%20Article.pdf,https://scholar.google.com/scholar?q=related:Mq0Mj4xsQoQJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2020,ejscreen_1,EJScreen,10,TRUE,"Governance, policy & institutional frameworks",Mentioned/Context,Legal / policy databases,HeinOnline is a subscription-based online legal research database specializing in law journals and government documents
0,"KJ Lynch, E Lamair, E Healey",Climate Policy &Environmental Justice Recommendations for Colorado: Environmental Justice and the Climate Action Plan to Reduce Pollution,2020,NA,digitalcommons.du.edu,https://digitalcommons.du.edu/law_facpub/465/,NA,21,2025-08-29,NA,NA,0,0,0,3,5,"This report was primarily drafted in the Spring of 2019, as the Colorado Legislature considered, and ultimately enacted, HB 19-1261. Since that time, developments have only …",https://digitalcommons.du.edu/cgi/viewcontent.cgi?article=1465&context=law_facpub,https://scholar.google.com/scholar?q=related:D6JWT826ACAJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2020,ejscreen_1,EJScreen,16,TRUE,"Governance, policy & institutional frameworks",Mentioned/Context,University / institutional repositories,"University of Denver Digital Commons repository, theses/dissertations and faculty publications."
2,"M Baumhefner, R Hwang, P Bull",Driving out pollution,2016,NA,chargevc.org,https://chargevc.org/wp-content/uploads/2017/12/NRDC-Driving-Out-Pollution-How-Utilities-Can-Accelerate-the-Market-for-EVs.pdf,https://scholar.google.com/scholar?cites=13345132139222757585&as_sdt=2005&sciodt=2007&hl=en,32,2025-08-29,PDF,NA,2,0.22,1,3,9,"As noted in a recent National Academies of Science study, only utilities can capture the “incremental revenue from additional electricity that EV drivers consume at home, where roughly …",https://chargevc.org/wp-content/uploads/2017/12/NRDC-Driving-Out-Pollution-How-Utilities-Can-Accelerate-the-Market-for-EVs.pdf,https://scholar.google.com/scholar?q=related:0XAFn_luM7kJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2020,ejscreen_1,EJScreen,18,TRUE,Energy & decarbonization,Mentioned/Context,Grey literature platforms,Organization site posting updates/reports; not scholarly publishing.
1,A Henderson,Teaching environmental justice with data-driven projects,2022,Teaching Environmental and Natural Resource …,elgaronline.com,https://www.elgaronline.com/abstract/edcoll/9781788114271/9781788114271.00017.xml,https://scholar.google.com/scholar?cites=279502916653205570&as_sdt=2005&sciodt=2007&hl=en,189,2025-08-29,NA,NA,1,0.33,1,1,3,"… The EPA provides two such tools, one of which, EJscreen, is … which can be mapped using EJscreen. The tool is reasonably … and TRI facility locations in EJscreen, then visit the ACS and …",NA,https://scholar.google.com/scholar?q=related:QsjM_Gv-4AMJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022,ejscreen_2,EJScreen,37,TRUE,Community engagement & knowledge,Mentioned/Context,Commercial academic publishers,"Edward Elgar Publishing, commercial academic publisher of economics/law books and journals."
1,"A Kumar, LN Kuruppuarachchi, ...","An application of EJSCREEN for the examination of environmental justice in metropolitan areas of Ohio, USA",2022,Sustainability Studies …,benthamdirect.com,https://www.benthamdirect.com/content/books/9789815039924.chapter-6,https://scholar.google.com/scholar?cites=3362559874491651920&as_sdt=2005&sciodt=2007&hl=en,5,2025-08-29,NA,NA,1,0.33,0,3,3,… This analysis relies on the data generated using the EPA’s EJSCREEN (version 2019) tool. The metropolitan areas are integrated geographic regions comprised of at least one city or …,NA,https://scholar.google.com/scholar?q=related:UJcO52M2qi4J:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022,ejscreen_2,EJScreen,40,TRUE,Equity and justice,Applied,Commercial academic publishers,Bentham Science/Bentham Open—commercial journal publisher.
15,"A Zrzavy, M Blondell, W Kobayashi, B Redden, ...",Addressing cumulative impacts: lessons from environmental justice screening tool development and resistance,2022,Env't L. Rep.,HeinOnline,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/elrna52&section=18,https://scholar.google.com/scholar?cites=10679008327740126664&as_sdt=2005&sciodt=2007&hl=en,13,2025-08-29,NA,NA,15,5,3,5,3,"… We note that although there are several other EJ screening tools or databases currently available in the United States, these were not included in our analysis because they either: …",https://www.eli.org/sites/default/files/files-pdf/52.10111.pdf,https://scholar.google.com/scholar?q=related:yHVjiH51M5QJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022,ejscreen_2,EJScreen,53,TRUE,"Governance, policy & institutional frameworks",Critiqued,Legal / policy databases,HeinOnline is a subscription-based online legal research database specializing in law journals and government documents
6,"CA Jackson, CL Hernandez, MC Harwell, TH DeWitt","Incorporating ecosystem services into restoration effectiveness monitoring &Assessment: frameworks, tools, and examples",2022,NA,researchgate.net,https://www.researchgate.net/profile/William-Ainslie/publication/365294684_Incorporating_Ecosystem_Services_Into_Restoration_Effectiveness_Monitoring_Assessment_Frameworks_Tools_and_Examples/links/6371068a2f4bca7fd058e957/Incorporating-Ecosystem-Services-Into-Restoration-Effectiveness-Monitoring-Assessment-Frameworks-Tools-and-Examples.pdf,https://scholar.google.com/scholar?cites=4449416543172814298&as_sdt=2005&sciodt=2007&hl=en,124,2025-08-29,PDF,NA,6,2,2,4,3,"• Ideally, these guidelines and the ability to determine benefits will help promote distributional justice and equitable realization of benefits among stakeholders.• Three distinct restoration …",https://www.researchgate.net/profile/William-Ainslie/publication/365294684_Incorporating_Ecosystem_Services_Into_Restoration_Effectiveness_Monitoring_Assessment_Frameworks_Tools_and_Examples/links/6371068a2f4bca7fd058e957/Incorporating-Ecosystem-Services-Into-Restoration-Effectiveness-Monitoring-Assessment-Frameworks-Tools-and-Examples.pdf,https://scholar.google.com/scholar?q=related:2uWPocWAvz0J:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022,ejscreen_2,EJScreen,90,TRUE,"Natural environment, resources & ecosystems",Mentioned/Context,Grey literature platforms,ResearchGate is a commercial academic social network (not a publisher); it hosts author-uploaded papers.
30,"D Rouse, R Piro","The comprehensive plan: Sustainable, resilient, and equitable communities for the 21st century",2021,NA,taylorfrancis.com,https://www.taylorfrancis.com/books/mono/10.4324/9781003024170/comprehensive-plan-david-rouse-rocky-piro,https://scholar.google.com/scholar?cites=10283210695642805737&as_sdt=2005&sciodt=2007&hl=en,327,2025-08-29,BOOK,10.4324/9781003024170,30,7.5,15,2,4,"The practice of comprehensive planning is changing dramatically in the 21st century to address the pressing need for more sustainable, resilient, and equitable communities. Drawing …",NA,https://scholar.google.com/scholar?q=related:6XVJGKVNtY4J:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022,ejscreen_2,EJScreen,107,TRUE,Community engagement & knowledge,Mentioned/Context,Commercial academic publishers,Taylor & Francis Group is an international company originating in the United Kingdom that publishes books and academic journals.
3,"DA Heyen, A Beznea, K Hünecke, ...",Measuring a Just Transition in the EU in the context of the 8th Environment Action Programme,2021,Online verfügbar unter …,justtransitionforall.com,https://justtransitionforall.com/wp-content/uploads/2022/12/JustTransition-Indicator-Paper.pdf,https://scholar.google.com/scholar?cites=9240862788454874289&as_sdt=2005&sciodt=2007&hl=en,336,2025-08-29,PDF,NA,3,0.75,1,4,4,"… With regard to socioeconomic and -demographic disaggregation, the US Environmental Justice Screening (EJSCREEN) can be seen as a role model. Eleven environmental indicators …",https://justtransitionforall.com/wp-content/uploads/2022/12/JustTransition-Indicator-Paper.pdf,https://scholar.google.com/scholar?q=related:sXz6874jPoAJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022,ejscreen_2,EJScreen,110,TRUE,Equity and justice,Applied,Grey literature platforms,Advocacy/knowledge hub site publishing briefs and resources.
10,"E Benami, R Whitaker, V La, H Lin, ...","The distributive effects of risk prediction in environmental compliance: Algorithmic design, environmental justice, and public policy",2021,Proceedings of the …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3442188.3445873,https://scholar.google.com/scholar?cites=7231562775483666091&as_sdt=2005&sciodt=2007&hl=en,214,2025-08-29,NA,10.1145/3442188.3445873,10,2.5,2,5,4,"… EPA’s goal is to reduce the SNC rate by 50% from 2019 to 2022, relative to a baseline from … the EJScreen ag into our assessment of distributive implications. Even though the EJScreen …",https://dl.acm.org/doi/pdf/10.1145/3442188.3445873,https://scholar.google.com/scholar?q=related:q06kowesW2QJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022,ejscreen_2,EJScreen,117,TRUE,"Governance, policy & institutional frameworks",Applied,Scholarly society / association publishers,"The ACM Digital Library is the publishing platform of the Association for Computing Machinery (a scholarly society). It hosts ACM’s peer-reviewed journals, magazines, and conference proceedings in the computing field"
