tool_name,year,n_studies
Climate Risk Viewer,2025,1
Climate and Economic Justice Screening Tool (CEJST),2022,89
Climate and Economic Justice Screening Tool (CEJST),2023,179
Climate and Economic Justice Screening Tool (CEJST),2024,271
Climate and Economic Justice Screening Tool (CEJST),2025,143
EJScreen,2016,6
EJScreen,2017,1
EJScreen,2018,6
EJScreen,2019,6
EJScreen,2020,9
EJScreen,2021,50
EJScreen,2022,244
EJScreen,2023,219
EJScreen,2024,242
EJScreen,2025,157
Environmental Justice Index (EJI),2022,1
Environmental Justice Index (EJI),2023,12
Environmental Justice Index (EJI),2024,50
Environmental Justice Index (EJI),2025,47
Future Risk Index (FRI),2024,1
