tool_name,year,title,cites,authors
Climate Risk Viewer,NA,USDA Forest Service,27,"I Forest, RE Station"
Climate Risk Viewer,NA,Forest Carbon Assessment for the Chequamegon-Nicolet National Forest in the Forest Service's Eastern Region,0,"A Dugan, D McKinley, S Amiot, L Onofrio, J Maziasz, ..."
Climate Risk Viewer,2025,Forest assisted migration and adaptation plantings in the,0,"PW Clark, AW D'Amato¹, LA Fitts, ..."
Climate and Economic Justice Screening Tool (CEJST),2023,Metrics for decision-making in energy justice,73,"E Baker, S Carley, S Castellanos, D Nock, ..."
Climate and Economic Justice Screening Tool (CEJST),2023,Characterizing vulnerabilities to climate change across the United States,68,"PGT Lewis, WA Chiu, E Nasser, J Proville, ..."
Climate and Economic Justice Screening Tool (CEJST),2022,Residential and race/ethnicity disparities in heat vulnerability in the United States,64,"M Manware, R Dubrow, D Carrión, Y Ma, K Chen"
Climate and Economic Justice Screening Tool (CEJST),2023,Air quality policy should quantify effects on disparities,62,"Y Wang, JS Apte, JD Hill, CE Ivey, D Johnson, E Min, ..."
Climate and Economic Justice Screening Tool (CEJST),2022,Mapping county-level vulnerability to the energy transition in US fossil fuel communities,59,"D Raimi, S Carley, D Konisky"
Climate and Economic Justice Screening Tool (CEJST),2023,Evaluating equity and justice in low-carbon energy transitions,45,"S Kime, V Jacome, D Pellow, ..."
Climate and Economic Justice Screening Tool (CEJST),2024,Measuring long-term exposure to wildfire PM2.5 in California: Time-varying inequities in environmental burden,43,"JA Casey, MA Kioumourtzoglou, A Padula…"
Climate and Economic Justice Screening Tool (CEJST),2024,Recent findings and methodologies in economics research in environmental justice,41,"L Cain, D Hernandez-Cortes…"
Climate and Economic Justice Screening Tool (CEJST),2023,Climate change and health equity: A research agenda for psychological science.,36,"AR Pearson, KE White, LM Nogueira, ..."
Climate and Economic Justice Screening Tool (CEJST),2024,Electric vehicle charging equity and accessibility: A comprehensive United States policy analysis,36,"GJ Carlton, S Sultana"
EJScreen,2019,Expanding the conceptual and analytical basis of energy justice: beyond the three-tenet framework,126,"J Lee, J Byrne"
EJScreen,2022,The critical role of process analysis in chemical recycling and upcycling of waste plastics,116,"SR Nicholson, JE Rorrer, A Singh, ..."
EJScreen,2019,California healthy places index: frames matter,79,"N Maizlish, T Delaney, H Dowling, ..."
EJScreen,2021,Air pollution and the pandemic: Long‐term PM2.5 exposure and disease severity in COVID‐19 patients,75,"A Mendy, X Wu, JL Keller, CS Fassler, ..."
EJScreen,2020,"Representative bureaucracy, distributional equity, and environmental justice",72,"J Liang, S Park, T Zhao"
EJScreen,2022,Historical neighborhood redlining and contemporary cardiometabolic risk,72,"I Motairek, EK Lee, S Janus, M Farkouh, ..."
EJScreen,2022,Equitable community resilience: the case of winter storm Uri in Texas,69,"A Nejat, L Solitare, E Pettitt, ..."
EJScreen,2023,Characterizing vulnerabilities to climate change across the United States,68,"PGT Lewis, WA Chiu, E Nasser, J Proville, ..."
EJScreen,2022,National and intraurban air pollution exposure disparity estimates in the United States: impact of data-aggregation spatial scale,66,"LP Clark, MH Harris, JS Apte, ..."
EJScreen,2022,Environmental inequality in the neighborhood networks of urban mobility in US cities,65,N Brazil
Environmental Justice Index (EJI),2024,The status of asthma in the United States,22,"CA Pate, HS Zahran"
Environmental Justice Index (EJI),2024,Communities conditionally support deployment of direct air capture for carbon dioxide removal in the United States,21,"C Scott-Buechler, B Cain, K Osman, ..."
Environmental Justice Index (EJI),2023,Asthma disparities among US children and adults,16,"CA Pate, X Qin, C Johnson, HS Zahran"
Environmental Justice Index (EJI),2024,Association of environmental injustice and cardiovascular diseases and risk factors in the United States,15,"S Khadke, A Kumar, S Al‐Kindi, ..."
Environmental Justice Index (EJI),2023,Association of neighborhood-level environmental injustice with health status in the US,10,"VR Patel, T Jella, A Gupta, A Nassel, ..."
Environmental Justice Index (EJI),2024,Identifying disadvantaged communities in the United States: An energy-oriented mapping tool that aggregates environmental and socioeconomic burdens,9,"N Popovich, AJ Figueroa, DA Sunter, M Shah"
Environmental Justice Index (EJI),2023,The creation of a multidomain neighborhood environmental vulnerability index across New York City,8,"SP Uong, J Zhou, S Lovinsky-Desir, SS Albrecht, ..."
Environmental Justice Index (EJI),2024,Healthcare sustainability to address climate change: call for action to the infectious diseases community,7,"S Doshi, S Vuppula, P Jaggi"
Environmental Justice Index (EJI),2024,Integrating the exposome and one health approach to national health surveillance: an opportunity for Latin American countries in health preventive …,6,"P Matus, C Urquidi, M Cárcamo, V Vidal"
Environmental Justice Index (EJI),2024,Social phenotyping for cardiovascular risk stratification in electronic health registries,6,"R Ibrahim, HN Pham, S Ganatra, Z Javed, ..."
Future Risk Index (FRI),2024,Climate Change Risk for LGBT People in the United States,1,"L Mahowald, A Shaw"
