Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"A André","In Pursuit of Justice Under NEPA: Apalachicola's Invisibility in the Tristate Water Wars",2024,"University of Memphis Law Review, Forthcoming","papers.ssrn.com","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4736835","",594,"2025-09-15 07:45:49","","","","",,,,,0,0.00,0,1,1,"In the presence of significant environmental impacts, the National Environmental Policy Act (NEPA) requires that agencies take a hard look at community effects. However, analysis of …","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4736835","https://scholar.google.com/scholar?q=related:ejZFRsS9lB8J:scholar.google.com/&scioq=%22climate+and+economic+justice+screening+tool%22%7C%22cejst%22%7C%22justice40+screening+tool%22%7C%22climate+economic+justice+tool%22%7C%22justice40+cejst%22%7C%22ceq+cejst%22%7C%22environmental+justice+screening+cejst%22&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2025"
2,"A Bernstein, D Fobes, V Donde, M Reno, L Roald","DynaGrid: Dynamic Microgrids for Large-Scale DER Integration and Electrification",2022,"","osti.gov","https://www.osti.gov/servlets/purl/1891199","https://scholar.google.com/scholar?cites=3623881051459516169&as_sdt=2005&sciodt=2007&hl=en",510,"2025-09-15 07:45:49","PDF","","","",,,,,2,0.67,0,5,3,"This presentation describes the DynaGrid project, a framework for dynamic formation and operation of networked microgrids that addresses major research challenges and overall …","https://www.osti.gov/servlets/purl/1891199","https://scholar.google.com/scholar?q=related:CXeDvJ2cSjIJ:scholar.google.com/&scioq=%22climate+and+economic+justice+screening+tool%22%7C%22cejst%22%7C%22justice40+screening+tool%22%7C%22climate+economic+justice+tool%22%7C%22justice40+cejst%22%7C%22ceq+cejst%22%7C%22environmental+justice+screening+cejst%22&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2025"
0,"A Bernstein, G Cavraro, B Cui, B Poolla, A Zamzam, ...","Real-Time Resilience of Energy Systems [Slides]",2022,"","osti.gov","https://www.osti.gov/servlets/purl/1999655","",805,"2025-09-15 07:45:49","PDF","","","",,,,,0,0.00,0,6,3,"… Quality Climate and Economic Justice Screening Tool …","https://www.osti.gov/servlets/purl/1999655","https://scholar.google.com/scholar?q=related:K2u1qyu_Iw4J:scholar.google.com/&scioq=%22climate+and+economic+justice+screening+tool%22%7C%22cejst%22%7C%22justice40+screening+tool%22%7C%22climate+economic+justice+tool%22%7C%22justice40+cejst%22%7C%22ceq+cejst%22%7C%22environmental+justice+screening+cejst%22&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2025"
88,"A Brown, J Cappellucci, A Heinrich, M Gaus, E Cost","Electric vehicle charging infrastructure trends from the alternative fueling station locator: first quarter 2024",2024,"","osti.gov","https://www.osti.gov/biblio/2447837","https://scholar.google.com/scholar?cites=8792986086801492886&as_sdt=2005&sciodt=2007&hl=en",718,"2025-09-15 07:45:49","","","","",,,,,88,88.00,18,5,1,"Electric vehicle (EV) charging infrastructure continues to rapidly change and grow. Using data from the US Department of Energy's (DOE's) Alternative Fueling Station Locator, this …","https://www.osti.gov/servlets/purl/2447837","https://scholar.google.com/scholar?q=related:lkvBOkL2BnoJ:scholar.google.com/&scioq=%22climate+and+economic+justice+screening+tool%22%7C%22cejst%22%7C%22justice40+screening+tool%22%7C%22climate+economic+justice+tool%22%7C%22justice40+cejst%22%7C%22ceq+cejst%22%7C%22environmental+justice+screening+cejst%22&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2025"
11,"A Brown, J Cappellucci, M Gaus, H Buleje","Electric Vehicle Charging Infrastructure Trends from the Alternative Fueling Station Locator: Second Quarter 2024",2024,"","osti.gov","https://www.osti.gov/biblio/2478445","https://scholar.google.com/scholar?cites=9152062935257242512&as_sdt=2005&sciodt=2007&hl=en",743,"2025-09-15 07:45:49","","","","",,,,,11,11.00,3,4,1,"Electric vehicle (EV) charging infrastructure continues to rapidly change and grow. Using data from the US Department of Energy's (DOE's) Alternative Fueling Station Locator, this …","https://www.osti.gov/servlets/purl/2478445","https://scholar.google.com/scholar?q=related:kNsG-r-oAn8J:scholar.google.com/&scioq=%22climate+and+economic+justice+screening+tool%22%7C%22cejst%22%7C%22justice40+screening+tool%22%7C%22climate+economic+justice+tool%22%7C%22justice40+cejst%22%7C%22ceq+cejst%22%7C%22environmental+justice+screening+cejst%22&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2025"
2,"A Bunting, D George, J McClure, M Husted, S Kriese","Mapping Environmental Justice and Uplifting Community Survival in Southwest Detroit",2023,"","deepblue.lib.umich.edu","https://deepblue.lib.umich.edu/handle/2027.42/176209","https://scholar.google.com/scholar?cites=7501522822442691805&as_sdt=2005&sciodt=2007&hl=en",236,"2025-09-15 07:45:49","","","","",,,,,2,1.00,0,5,2,"… An in-depth discussion of the two federal screening tools, EPA EJ Screen and CEJST, are below. … This table compiles all of the indicator categories that are present within the CEJST. …","https://deepblue.lib.umich.edu/bitstream/handle/2027.42/176209/EJinSWDetroit_Project.pdf?sequence=1","https://scholar.google.com/scholar?q=related:3awuIkPDGmgJ:scholar.google.com/&scioq=%22climate+and+economic+justice+screening+tool%22%7C%22cejst%22%7C%22justice40+screening+tool%22%7C%22climate+economic+justice+tool%22%7C%22justice40+cejst%22%7C%22ceq+cejst%22%7C%22environmental+justice+screening+cejst%22&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2025"
0,"A Corrigan, M Henry","Community Benefit Plans-Guidelines and Tips [Slides]",2024,"","osti.gov","https://www.osti.gov/biblio/2371832","",240,"2025-09-15 07:45:49","","","","",,,,,0,0.00,0,2,1,"This document provides community benefits plans guidance for state energy programs. It includes best practices, step-by-step guidance, and tips for writing a project overview as well as …","https://www.osti.gov/servlets/purl/2371832","https://scholar.google.com/scholar?q=related:wy4QsO0ku8cJ:scholar.google.com/&scioq=%22climate+and+economic+justice+screening+tool%22%7C%22cejst%22%7C%22justice40+screening+tool%22%7C%22climate+economic+justice+tool%22%7C%22justice40+cejst%22%7C%22ceq+cejst%22%7C%22environmental+justice+screening+cejst%22&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2025"
14,"A Desikan, T MacKinney, C Kalman, ...","An equity and environmental justice assessment of anti-science actions during the Trump administration",2023,"Journal of Public …","pmc.ncbi.nlm.nih.gov","https://pmc.ncbi.nlm.nih.gov/articles/PMC9896454/","https://scholar.google.com/scholar?cites=11015522592916961345&as_sdt=2005&sciodt=2007&hl=en",554,"2025-09-15 07:45:49","HTML","","","",,,,,14,7.00,4,4,2,"In the United States, science shapes federal health and safety protections, but political officials can and do politicize federal science and science-based safeguards. Many presidential …","https://pmc.ncbi.nlm.nih.gov/articles/PMC9896454/","https://scholar.google.com/scholar?q=related:Qfgafm__3pgJ:scholar.google.com/&scioq=%22climate+and+economic+justice+screening+tool%22%7C%22cejst%22%7C%22justice40+screening+tool%22%7C%22climate+economic+justice+tool%22%7C%22justice40+cejst%22%7C%22ceq+cejst%22%7C%22environmental+justice+screening+cejst%22&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2025"
0,"A Deslatte, J Chung","The Infrastructures of Tomorrow: Integrating Local Planning and Management for Climate Resilient Stormwater Systems",2025,"State and Local Government Review","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0160323X241283407","",428,"2025-09-15 07:45:49","","10.1177/0160323X241283407","","",,,,,0,0.00,0,2,1,"Local governments tend to produce disjointed planning and implementation responses to ambiguous problems. This study adapts a cognitive science framework known as active …","","https://scholar.google.com/scholar?q=related:M2uqK3x-jKcJ:scholar.google.com/&scioq=%22climate+and+economic+justice+screening+tool%22%7C%22cejst%22%7C%22justice40+screening+tool%22%7C%22climate+economic+justice+tool%22%7C%22justice40+cejst%22%7C%22ceq+cejst%22%7C%22environmental+justice+screening+cejst%22&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2025"
0,"A Erfani, Q Cui, P DeCorla-Souza","Crowdfunding for Equitable EV Charging Infrastructure",2024,"arXiv preprint arXiv:2406.14295","arxiv.org","https://arxiv.org/abs/2406.14295","",318,"2025-09-15 07:45:49","","","","",,,,,0,0.00,0,3,1,"The transportation sector significantly contributes to greenhouse gas emissions, highlighting the need to transition to Electric Vehicles (EVs) to reduce fossil fuel dependence and …","https://arxiv.org/pdf/2406.14295","https://scholar.google.com/scholar?q=related:bNJsroqeUkMJ:scholar.google.com/&scioq=%22climate+and+economic+justice+screening+tool%22%7C%22cejst%22%7C%22justice40+screening+tool%22%7C%22climate+economic+justice+tool%22%7C%22justice40+cejst%22%7C%22ceq+cejst%22%7C%22environmental+justice+screening+cejst%22&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2025"
