Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
2,"A Adhikari, A Nwosu, M Qian, ...","Characterizing Neighborhood Vulnerabilities in Mild Cognitive Impairment using the Environmental Justice Index",2024,"Journal of …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.3233/ADR-240020","https://scholar.google.com/scholar?cites=12881245916502359986&as_sdt=2005&sciodt=2007&hl=en",4,"2025-09-15 07:45:08","","10.3233/ADR-240020","","",,,,,2,2.00,1,4,1,"… Environmental Justice Index (EJI) was launched as the first nationwide database to integrate a wide range of environmental … The tool is improved and updated through engagement with …","https://journals.sagepub.com/doi/full/10.3233/ADR-240020","https://scholar.google.com/scholar?q=related:sv-Szelgw7IJ:scholar.google.com/&scioq=%22environmental+justice+index%22%7C%22cdc+environmental+justice+index%22%7C%22atsdr+environmental+justice+index%22%7C%22cdc+eji%22%7C%22environmental+justice+composite+index+cdc%22%7C%22eji+2022%22%7C%22eji+2024+update%22%7C%22environmental+justice+health+index%22&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2025"
0,"A Adhikari, PM Doraiswamy","Integrating climate and environmental justice into patient care: A case study",,"Journal of Medical and Clinical Case …","medvixpublications.org","https://www.medvixpublications.org/get/1-JMCCR2024091517Q%20Galley%20Proof-1715229938.pdf","",15,"2025-09-15 07:45:08","PDF","","","",,,,,0,0.00,0,2,,"… The Environmental Justice Index (EJI), launched in 2022, is one such effort to integrate 40 … data to be useful in the clinical setting, databases must be updated in real-time by the various …","https://www.medvixpublications.org/get/1-JMCCR2024091517Q%20Galley%20Proof-1715229938.pdf","https://scholar.google.com/scholar?q=related:qv4rfQ36RiwJ:scholar.google.com/&scioq=%22environmental+justice+index%22%7C%22cdc+environmental+justice+index%22%7C%22atsdr+environmental+justice+index%22%7C%22cdc+eji%22%7C%22environmental+justice+composite+index+cdc%22%7C%22eji+2022%22%7C%22eji+2024+update%22%7C%22environmental+justice+health+index%22&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2025"
0,"A Bam, Y Hu, X Wu, M Luo, N Rizvi, L Del Valle, ...","Differential miRNA Expressions Linking Environmental Risk Factors to Triple-Negative Breast Cancer Stages at Diagnosis",2025,"Cancers","mdpi.com","https://www.mdpi.com/2072-6694/17/16/2618","",66,"2025-09-15 07:45:08","HTML","","","",,,,,0,0.00,0,7,1,"… Environmental Justice Index (EJI) data with miRNA profiles, enabling us to quantify the influence of structural and environmental … cases enriched with environmental justice metrics. We …","https://www.mdpi.com/2072-6694/17/16/2618","https://scholar.google.com/scholar?q=related:tdjisswohI4J:scholar.google.com/&scioq=%22environmental+justice+index%22%7C%22cdc+environmental+justice+index%22%7C%22atsdr+environmental+justice+index%22%7C%22cdc+eji%22%7C%22environmental+justice+composite+index+cdc%22%7C%22eji+2022%22%7C%22eji+2024+update%22%7C%22environmental+justice+health+index%22&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2025"
0,"A Barry","America's Next Top EJ Model: Assessing the Role of Food Access in Environmental Justice Models",2024,"","digitalcommons.unl.edu","https://digitalcommons.unl.edu/envstudtheses/376/","",1,"2025-09-15 07:45:08","","","","",,,,,0,0.00,0,1,1,"… New Model of the CDC and ASTDR’s Environmental Justice Index with the addition of percent ranked food access values calculated from the USDA’s Food Access Research Atlas. EJI …","https://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=1374&context=envstudtheses","https://scholar.google.com/scholar?q=related:4h02iuJqSk8J:scholar.google.com/&scioq=%22environmental+justice+index%22%7C%22cdc+environmental+justice+index%22%7C%22atsdr+environmental+justice+index%22%7C%22cdc+eji%22%7C%22environmental+justice+composite+index+cdc%22%7C%22eji+2022%22%7C%22eji+2024+update%22%7C%22environmental+justice+health+index%22&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2025"
0,"A Dyer, KA Byers, J Buckley, D German, MH Murray","Inequality in Exposure and Knowledge Drives Vulnerability to Rat-Associated Leptospirosis: A. Dyer et al.",2025,"EcoHealth","Springer","https://link.springer.com/article/10.1007/s10393-025-01735-9","",93,"2025-09-15 07:45:08","","10.1007/s10393-025-01735-9","","",,,,,0,0.00,0,5,1,"… of race, socioeconomic status, and environmental health (Taeuber and Taeuber 1964; Sandoval … measures of environmental burdens through the Environmental Justice Index (EJI). The …","","https://scholar.google.com/scholar?q=related:cztUh1TgcNcJ:scholar.google.com/&scioq=%22environmental+justice+index%22%7C%22cdc+environmental+justice+index%22%7C%22atsdr+environmental+justice+index%22%7C%22cdc+eji%22%7C%22environmental+justice+composite+index+cdc%22%7C%22eji+2022%22%7C%22eji+2024+update%22%7C%22environmental+justice+health+index%22&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2025"
0,"A Fish","Review of the San Joaquin River Restoration Program's Reintroduction of Native",2024,"","repository.library.noaa.gov","https://repository.library.noaa.gov/view/noaa/66643/noaa_66643_DS1.pdf","",109,"2025-09-15 07:45:08","PDF","","","",,,,,0,0.00,0,1,1,"To support the information provided in the Report to Congress, this technical paper includes a more detailed evaluation of the San Joaquin River Restoration Program’s (SJRRP; Figure …","https://repository.library.noaa.gov/view/noaa/66643/noaa_66643_DS1.pdf","https://scholar.google.com/scholar?q=related:GXE-fs_USvIJ:scholar.google.com/&scioq=%22environmental+justice+index%22%7C%22cdc+environmental+justice+index%22%7C%22atsdr+environmental+justice+index%22%7C%22cdc+eji%22%7C%22environmental+justice+composite+index+cdc%22%7C%22eji+2022%22%7C%22eji+2024+update%22%7C%22environmental+justice+health+index%22&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2025"
0,"A Fulton","A comparison of equity-based mapping tools used in urban forestry across Texas",2025,"","ir.library.oregonstate.edu","https://ir.library.oregonstate.edu/concern/graduate_projects/1n79hd64x","",10,"2025-09-15 07:45:08","","","","",,,,,0,0.00,0,1,1,"… data was collected and analyzed in the fall of 2024, and much of the work was completed … indicators, domains, and modules used to calculate the overall EJI score and the final EJI …","https://ir.library.oregonstate.edu/downloads/db78tn11h","https://scholar.google.com/scholar?q=related:kBozn1mot54J:scholar.google.com/&scioq=%22environmental+justice+index%22%7C%22cdc+environmental+justice+index%22%7C%22atsdr+environmental+justice+index%22%7C%22cdc+eji%22%7C%22environmental+justice+composite+index+cdc%22%7C%22eji+2022%22%7C%22eji+2024+update%22%7C%22environmental+justice+health+index%22&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2025"
0,"A Kizhakkemarakkattil Janardhanan","Energy Just City: A case study of Baltimore City through the lens of Energy Justice",2024,"","etda.libraries.psu.edu","https://etda.libraries.psu.edu/catalog/29304ajk7152","",90,"2025-09-15 07:45:08","","","","",,,,,0,0.00,0,1,1,"… Fight for environmental justice paved the way for energy justice in the United … environmental justice. This movement gained momentum to incorporate violations of environmental justice …","https://etda.libraries.psu.edu/files/final_submissions/30241","https://scholar.google.com/scholar?q=related:nBSOcFSkVYUJ:scholar.google.com/&scioq=%22environmental+justice+index%22%7C%22cdc+environmental+justice+index%22%7C%22atsdr+environmental+justice+index%22%7C%22cdc+eji%22%7C%22environmental+justice+composite+index+cdc%22%7C%22eji+2022%22%7C%22eji+2024+update%22%7C%22environmental+justice+health+index%22&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2025"
1,"A Segrè Cohen, CE Slavik, S Kurani, J Árvai","Mapping risks of water injustice and perceptions of privatized drinking water in the United States: A mixed methods approach",2025,"Risk Analysis","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/risa.70012","https://scholar.google.com/scholar?cites=13280302242097909462&as_sdt=2005&sciodt=2007&hl=en",79,"2025-09-15 07:45:08","","10.1111/risa.70012","","",,,,,1,1.00,0,4,1,"… Environmental Protection Agency’s Safe Drinking Water Information System and the US Center for Disease Control’s Environmental Justice Index … ) Environmental Justice Index (EJI) is …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/risa.70012","https://scholar.google.com/scholar?q=related:1s4R8oYcTbgJ:scholar.google.com/&scioq=%22environmental+justice+index%22%7C%22cdc+environmental+justice+index%22%7C%22atsdr+environmental+justice+index%22%7C%22cdc+eji%22%7C%22environmental+justice+composite+index+cdc%22%7C%22eji+2022%22%7C%22eji+2024+update%22%7C%22environmental+justice+health+index%22&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2025"
0,"A Spriggs","GIS-Based Analysis of Environmental Justice and Natural Hazards in the Built and Natural Environment",2023,"","search.proquest.com","https://search.proquest.com/openview/bf855d7d139c701aa08f01185b4b5f88/1?pq-origsite=gscholar&cbl=18750&diss=y","",11,"2025-09-15 07:45:08","","","","",,,,,0,0.00,0,1,2,"… 1 Following the defense of this Thesis, US EPA released an updated … and EJI map layers automatically compile data from dozens of environmental, socioeconomic, and other indicators, …","https://mospace.umsystem.edu/xmlui/bitstream/handle/10355/97094/SpriggsAmberResearch.pdf?sequence=1","https://scholar.google.com/scholar?q=related:oDcHH0R7rPAJ:scholar.google.com/&scioq=%22environmental+justice+index%22%7C%22cdc+environmental+justice+index%22%7C%22atsdr+environmental+justice+index%22%7C%22cdc+eji%22%7C%22environmental+justice+composite+index+cdc%22%7C%22eji+2022%22%7C%22eji+2024+update%22%7C%22environmental+justice+health+index%22&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2025"
