Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
11,"A Bakshi, A Van Doren, C Maser, K Aubin, C Stewart, ...","Identifying Louisiana communities at the crossroads of environmental and social vulnerability, COVID-19, and asthma",2022,"PLoS …","journals.plos.org","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0264336","https://scholar.google.com/scholar?cites=7608610466135088567&as_sdt=2005&sciodt=2007&hl=en",47,"2025-08-29 15:46:59","HTML","","","",,,,,11,3.67,2,6,3,"… For all datasets, we used EJSCREEN’s visualization method and mapped the RHI, PM 2.5 , Ozone and IEQ concerns as a percentile score relative to all CTs in the state (ranked using …","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0264336","https://scholar.google.com/scholar?q=related:tx1NJOg2l2kJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022"
1,"A Bartuska, A Thompson, M Walls","Comments on the development of a conservation and stewardship atlas",2022,"","media.rff.org","https://media.rff.org/documents/Public_Comment_Conservation_Atlas.pdf","https://scholar.google.com/scholar?cites=14272978803366653558&as_sdt=2005&sciodt=2007&hl=en",246,"2025-08-29 15:46:59","PDF","","","",,,,,1,0.33,0,3,3,"RFF is an independent, nonprofit research institution in Washington, DC. Its mission is to improve environmental, energy, and natural resource decisions through impartial economic …","https://media.rff.org/documents/Public_Comment_Conservation_Atlas.pdf","https://scholar.google.com/scholar?q=related:dm5ZpZnOE8YJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022"
1,"A Buday, A Armstrong","Going with the flow? The role of intention in riparian zone management",2022,"Socio-Ecological Practice Research","Springer","https://link.springer.com/article/10.1007/s42532-022-00114-w","https://scholar.google.com/scholar?cites=11293666036502865905&as_sdt=2005&sciodt=2007&hl=en",126,"2025-08-29 15:46:59","","10.1007/s42532-022-00114-w","","",,,,,1,0.33,1,2,3,"In future efforts to manage nonpoint source pollutants contributing to water quality impairments in the Great Lakes Basin, revegetating riparian zones will be a key management …","","https://scholar.google.com/scholar?q=related:8aelfWwpu5wJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022"
0,"A Faghri, H Withers","Transportation Equity Quantification and Related Issues and Challenges",2022,"Current Urban Studies","scirp.org","https://www.scirp.org/journal/paperinformation?paperid=121218","",285,"2025-08-29 15:46:59","HTML","","","",,,,,0,0.00,0,2,3,"The main purpose of this article is to explore the different challenges that planners, engineers and policy makers face in quantifying transportation equity for design and implementation …","https://www.scirp.org/journal/paperinformation?paperid=121218","https://scholar.google.com/scholar?q=related:GNUavEP75MYJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022"
1,"A Henderson","Teaching environmental justice with data-driven projects",2022,"Teaching Environmental and Natural Resource …","elgaronline.com","https://www.elgaronline.com/abstract/edcoll/9781788114271/9781788114271.00017.xml","https://scholar.google.com/scholar?cites=279502916653205570&as_sdt=2005&sciodt=2007&hl=en",189,"2025-08-29 15:46:59","","","","",,,,,1,0.33,1,1,3,"… The EPA provides two such tools, one of which, EJscreen, is … which can be mapped using EJscreen. The tool is reasonably … and TRI facility locations in EJscreen, then visit the ACS and …","","https://scholar.google.com/scholar?q=related:QsjM_Gv-4AMJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022"
0,"A Kaswan","Background on Environmental Justice and Racism",2022,"The Palgrave Handbook of Global Sustainability","Springer","https://link.springer.com/rwe/10.1007/978-3-030-38948-2_70-1","",145,"2025-08-29 15:46:59","","10.1007/978-3-030-38948-2_70-1","","",,,,,0,0.00,0,1,3,"Beginning with its roots in the USA in the 1980s, the idea of environmental justice has expanded around the globe. Like the term “sustainable development,” the term environmental …","","https://scholar.google.com/scholar?q=related:ZkfmHurpM_kJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022"
0,"A King, J Williams, M Merrick, F Tutman, D Johnson, ...","Asking the Hard Questions to Achieve Environmental Justice",2022,"Env't F.","HeinOnline","https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/evnmtlfrum39&section=19","",154,"2025-08-29 15:46:59","","","","",,,,,0,0.00,0,6,3,"… We usually advise using EPA's EJSCREEN as a starting point, but then go out and get to know those communities on the ground. It's important to listen and learn from the communities …","","https://scholar.google.com/scholar?q=related:jGKVUCSK_7YJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022"
1,"A Kumar, LN Kuruppuarachchi, ...","An application of EJSCREEN for the examination of environmental justice in metropolitan areas of Ohio, USA",2022,"Sustainability Studies …","benthamdirect.com","https://www.benthamdirect.com/content/books/9789815039924.chapter-6","https://scholar.google.com/scholar?cites=3362559874491651920&as_sdt=2005&sciodt=2007&hl=en",5,"2025-08-29 15:46:59","","","","",,,,,1,0.33,0,3,3,"… This analysis relies on the data generated using the EPA’s EJSCREEN (version 2019) tool. The metropolitan areas are integrated geographic regions comprised of at least one city or …","","https://scholar.google.com/scholar?q=related:UJcO52M2qi4J:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022"
2,"A Levine","FOIA Disclosure and the Supreme Court",2022,"Harv. Env't L. Rev.","HeinOnline","https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/helr46&section=8","https://scholar.google.com/scholar?cites=13205579573258342690&as_sdt=2005&sciodt=2007&hl=en",313,"2025-08-29 15:46:59","","","","",,,,,2,0.67,2,1,3,"This decade marks fifty years since a golden age of both transparency legislation and environmental law in the United States. In the late 1960s and early 1970s, both topics separately …","","https://scholar.google.com/scholar?q=related:ItE33aekQ7cJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022"
0,"A Linn, A Bremer, J Alper, ...","Leveraging Advances in Remote Geospatial Technologies to Inform Precision Environmental Health Decisions",2021,"","ncbi.nlm.nih.gov","https://www.ncbi.nlm.nih.gov/sites/books/NBK573605/","",224,"2025-08-29 15:46:59","HTML","","","",,,,,0,0.00,0,4,4,"… models, and the Environmental Protection Agency’s (EPA’s) environmental justice screening and mapping tool, EJSCREEN, to engage stakeholders in the development of the CEJST. …","https://www.ncbi.nlm.nih.gov/sites/books/NBK573605/","https://scholar.google.com/scholar?q=related:Z-lmM73u14wJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022"
73,"A Mendy, X Wu, JL Keller, CS Fassler, ...","Air pollution and the pandemic: Long‐term PM2.5 exposure and disease severity in COVID‐19 patients",2021,"…","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/resp.14140","https://scholar.google.com/scholar?cites=12736717891739304208&as_sdt=2005&sciodt=2007&hl=en",332,"2025-08-29 15:46:59","","10.1111/resp.14140","","",,,,,73,18.25,15,5,4,"Background and objective Ecological studies have suggested an association between exposure to particulate matter ≤2.5 μm (PM 2.5 ) and coronavirus disease 2019 (COVID‐19) …","https://pmc.ncbi.nlm.nih.gov/articles/PMC8662216/pdf/RESP-26-1181.pdf","https://scholar.google.com/scholar?q=related:EMF7xXDpwbAJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022"
2,"A Mika","Phytoremediation of the Des Plaines River",2022,"","search.proquest.com","https://search.proquest.com/openview/7e9ca8022be32545cc3623cb6180f9c4/1?pq-origsite=gscholar&cbl=18750&diss=y","https://scholar.google.com/scholar?cites=5649929524373471255&as_sdt=2005&sciodt=2007&hl=en",266,"2025-08-29 15:46:59","","","","",,,,,2,0.67,2,1,3,"… the USEPA uses to map and screen environmental justice is the EJSCREEN. This tool provides a nationally consistent dataset and approach for environmental and demographic …","https://dash.harvard.edu/bitstreams/40b585d7-8146-4462-a1bd-2df1f6c2fb91/download","https://scholar.google.com/scholar?q=related:F8BFwveUaE4J:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022"
0,"A Muir","WILLIAM &MARY ENVIRONMENTAL LAW AND POLICY REVIEW",2022,"POLICY REVIEW","HeinOnline","https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/wmelpr46&section=21","",299,"2025-08-29 15:46:59","","","","",,,,,0,0.00,0,1,3,"… 3, 2022). The site is large enough that EJSCREEN demographics of a one-mile radius are different for Waste Management landfill and INGENCO. Waste Management registers as thirty …","","https://scholar.google.com/scholar?q=related:TMtJwj9pMJsJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022"
68,"A Nejat, L Solitare, E Pettitt, ...","Equitable community resilience: the case of winter storm Uri in Texas",2022,"International Journal of …","Elsevier","https://www.sciencedirect.com/science/article/pii/S2212420922002898","https://scholar.google.com/scholar?cites=2075301145906182163&as_sdt=2005&sciodt=2007&hl=en",54,"2025-08-29 15:46:59","","","","",,,,,68,22.67,17,4,3,"Community resilience in the face of natural hazards involves both a community's sensitivity to disaster and its potential to bounce back. A failure to integrate equity into resilience …","https://www.sciencedirect.com/science/article/am/pii/S2212420922002898","https://scholar.google.com/scholar?q=related:E_iyk2XzzBwJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022"
0,"A Shkembi, L Smith, R Neitzel","A ranking of environmental indicators among historically redlined neighborhoods in Detroit, Michigan, USA",2022,"ISEE Conference Abstracts","ehp.niehs.nih.gov","https://ehp.niehs.nih.gov/doi/abs/10.1289/isee.2022.P-0790","",30,"2025-08-29 15:46:59","","10.1289/isee.2022.P-0790","","",,,,,0,0.00,0,3,3,"Background and Aim: The Home Owners’ Loan Corporation (HOLC) in the 1930s drew maps of cities across the US that labeled neighborhoods by mortgage risk. This historical practice…","","https://scholar.google.com/scholar?q=related:_DvLUu7FSOAJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022"
0,"A Shkembi, L Smith, RL Neitzel","Effect of historical redlining and current-day segregation on air pollution disparities across 143 cities in the USA",2022,"ISEE Conference Abstracts","ehp.niehs.nih.gov","https://ehp.niehs.nih.gov/doi/abs/10.1289/isee.2022.P-0225","",60,"2025-08-29 15:46:59","","10.1289/isee.2022.P-0225","","",,,,,0,0.00,0,3,3,"… METHODS: Current-day demographics and air pollution levels were estimated for USA census tracts using the EPA EJSCREEN. Census-tract-level HOLC grade was assessed using …","","https://scholar.google.com/scholar?q=related:EgeE1yOwwzEJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022"
