cites,authors,title,year,source,publisher,article_url,cites_url,gs_rank,query_date,type,doi,ecc,cites_per_year,cites_per_author,author_count,age,abstract,full_text_url,related_url,source_file,query,papers,citations,years,cites_year,cites_paper,cites_author,papers_author,authors_paper,h_index,g_index,hc_index,h_i_index,h_i_norm,awcr,aw_index,awc_rp_a,e_index,hm_index,cites_author_year,h_i_annual,h_coverage,g_coverage,star_count,year_first,year_last,acc1,acc2,acc5,acc20,h_a,tool_name,study_id,double_code,topic_cat,tool_use_type
0,"J Wang, G Chen, P Hsieh, W Chen",Physical climate change risk and ESG green premium,2024,Applied Economics,Taylor &Francis,https://www.tandfonline.com/doi/abs/10.1080/00036846.2024.2421456,NA,5,2025-09-15,NA,10.1080/00036846.2024.2421456,0,0,0,4,1,"… To assess the predictive power of ESG engagement and climate risk beta … climate risk beta, and the decile 10 contains stocks with the highest standardized E-Scores or climate risk beta. …",NA,https://scholar.google.com/scholar?q=related:RPPIEhdQbb8J:scholar.google.com/&scioq=%22climate+risk+viewer%22%7C%22usda+climate+risk+viewer%22%7C%22forest+service+climate+risk+viewer%22%7C%22usfs+climate+risk+viewer%22%7C%22climate+risk+mapping+tool+usda%22%7C%22usda+risk+viewer+climate%22%7C%22usda+climate+risk+tool%22%7C%22climate+risk+beta+viewer%22&hl=en&as_sdt=2007&as_ylo=2023&as_yhi=2025,crv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Climate Risk Viewer,1738,TRUE,NA,NA
28,"I Forest, RE Station",USDA Forest Service,NA,"Ogden, EUA",fs.usda.gov,https://www.fs.usda.gov/sites/default/files/fy24-agency-coordination-report.pdf,https://scholar.google.com/scholar?cites=10727333522832232180&as_sdt=2005&sciodt=2007&hl=en,2,2025-09-15,PDF,NA,28,0,14,2,NA,NA,https://www.fs.usda.gov/sites/default/files/fy24-agency-coordination-report.pdf,https://scholar.google.com/scholar?q=related:9A6OzwAl35QJ:scholar.google.com/&scioq=%22climate+risk+viewer%22%7C%22usda+climate+risk+viewer%22%7C%22forest+service+climate+risk+viewer%22%7C%22usfs+climate+risk+viewer%22%7C%22climate+risk+mapping+tool+usda%22%7C%22usda+risk+viewer+climate%22%7C%22usda+climate+risk+tool%22%7C%22climate+risk+beta+viewer%22&hl=en&as_sdt=2007&as_ylo=2023&as_yhi=2025,crv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Climate Risk Viewer,1737,TRUE,NA,NA
0,"D O'Kane, JM Maeso",The Impact of Climate Change News on Low-Minus-High Carbon Intensity Portfolios,2023,Available at SSRN 4812120,papers.ssrn.com,https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4812120,NA,8,2025-09-15,PDF,NA,0,0,0,2,2,"Using a variety of language models and high-quality English-language newspaper sources, we construct an unexpected climate news index (UCNI) for each model and source. We …",https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4812120,https://scholar.google.com/scholar?q=related:eWRSBAhB8wMJ:scholar.google.com/&scioq=%22climate+risk+viewer%22%7C%22usda+climate+risk+viewer%22%7C%22forest+service+climate+risk+viewer%22%7C%22usfs+climate+risk+viewer%22%7C%22climate+risk+mapping+tool+usda%22%7C%22usda+risk+viewer+climate%22%7C%22usda+climate+risk+tool%22%7C%22climate+risk+beta+viewer%22&hl=en&as_sdt=2007&as_ylo=2023&as_yhi=2025,crv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Climate Risk Viewer,1729,TRUE,NA,NA
0,"A Dugan, D McKinley, S Amiot, L Onofrio, J Maziasz, ...",Forest Carbon Assessment for the Chequamegon-Nicolet National Forest in the Forest Service's Eastern Region,NA,elpc.org,NA,https://elpc.org/wp-content/uploads/2024/08/5.303_CNNF_CarbonAssessment-Paper.pdf,NA,18,2025-09-15,PDF,NA,0,0,0,6,NA,… A low amount of mature and old-growth stands indicated on the Chequamegon-Nicolet NF by data on the Climate Risk Viewer indicates the acreage of these forest conditions within the …,https://elpc.org/wp-content/uploads/2024/08/5.303_CNNF_CarbonAssessment-Paper.pdf,https://scholar.google.com/scholar?q=related:9f-IcJ3trOEJ:scholar.google.com/&scioq=%22climate+risk+viewer%22%7C%22usda+climate+risk+viewer%22%7C%22forest+service+climate+risk+viewer%22%7C%22usfs+climate+risk+viewer%22%7C%22climate+risk+mapping+tool+usda%22%7C%22usda+risk+viewer+climate%22%7C%22usda+climate+risk+tool%22%7C%22climate+risk+beta+viewer%22&hl=en&as_sdt=2007&as_ylo=2023&as_yhi=2025,crv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Climate Risk Viewer,1726,TRUE,NA,NA
6,"H Jung, R Engle, S Ge, X Zeng",Physical climate risk factors and an application to measuring insurers' climate risk exposure,2024,FRB of New York Staff …,cebra.s3.amazonaws.com,http://cebra.s3.amazonaws.com/s3fs-private/papers/Measuring_Insurers__Climate_Risk_JEGZ_Mar2025-compressed.pdf,https://scholar.google.com/scholar?cites=14399380152096382116&as_sdt=2005&sciodt=2007&hl=en,3,2025-09-15,PDF,NA,6,6,2,4,1,"We construct a novel physical risk factor using a portfolio of REITs, long on those with properties highly exposed to climate risk and short on those with less exposure. Combined with a …",http://cebra.s3.amazonaws.com/s3fs-private/papers/Measuring_Insurers__Climate_Risk_JEGZ_Mar2025-compressed.pdf,https://scholar.google.com/scholar?q=related:pNyDB_Xf1McJ:scholar.google.com/&scioq=%22climate+risk+viewer%22%7C%22usda+climate+risk+viewer%22%7C%22forest+service+climate+risk+viewer%22%7C%22usfs+climate+risk+viewer%22%7C%22climate+risk+mapping+tool+usda%22%7C%22usda+risk+viewer+climate%22%7C%22usda+climate+risk+tool%22%7C%22climate+risk+beta+viewer%22&hl=en&as_sdt=2007&as_ylo=2023&as_yhi=2025,crv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Climate Risk Viewer,1735,TRUE,NA,NA
0,"X Lyu, C Shan, DY Tang","The"" Major Questions"" of Carbon Emissions and Value Relevance of Climate Litigation",2024,NA,papers.ssrn.com,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4428369,NA,19,2025-09-15,NA,NA,0,0,0,3,1,"… To ensure robustness, we estimate the climate risk beta to measure firms’ exposure to transition risks. We also use the transition climate risk measure developed by Li, Shan, Tang, and …",https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4428369,https://scholar.google.com/scholar?q=related:SBT2LmF01SUJ:scholar.google.com/&scioq=%22climate+risk+viewer%22%7C%22usda+climate+risk+viewer%22%7C%22forest+service+climate+risk+viewer%22%7C%22usfs+climate+risk+viewer%22%7C%22climate+risk+mapping+tool+usda%22%7C%22usda+risk+viewer+climate%22%7C%22usda+climate+risk+tool%22%7C%22climate+risk+beta+viewer%22&hl=en&as_sdt=2007&as_ylo=2023&as_yhi=2025,crv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Climate Risk Viewer,1749,TRUE,NA,NA
0,"PW Clark, AW D'Amato¹, LA Fitts, ...",Forest assisted migration and adaptation plantings in the,2025,Forest Assisted …,books.google.com,https://books.google.com/books?hl=en&lr=&id=qNRFEQAAQBAJ&oi=fnd&pg=PA114&dq=%22climate+risk+viewer%22%7C%22usda+climate+risk+viewer%22%7C%22forest+service+climate+risk+viewer%22%7C%22usfs+climate+risk+viewer%22%7C%22climate+risk+mapping+tool+usda%22%7C%22usda+risk+viewer+climate%22%7C%22usda+climate+risk+tool%22%7C%22climate+risk+beta+viewer%22&ots=xkE_dLezcx&sig=yPBACbBQGhKFb2lJjiNOTO3oHiM,NA,21,2025-09-15,NA,NA,0,0,0,4,1,"Global climate change is expected to affect forested ecosystems worldwide, with impacts to community structure, composition, and ecosystem function (Dale et al., 2001). Consequently, …",NA,https://scholar.google.com/scholar?q=related:o6QBeMB1WOEJ:scholar.google.com/&scioq=%22climate+risk+viewer%22%7C%22usda+climate+risk+viewer%22%7C%22forest+service+climate+risk+viewer%22%7C%22usfs+climate+risk+viewer%22%7C%22climate+risk+mapping+tool+usda%22%7C%22usda+risk+viewer+climate%22%7C%22usda+climate+risk+tool%22%7C%22climate+risk+beta+viewer%22&hl=en&as_sdt=2007&as_ylo=2023&as_yhi=2025,crv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Climate Risk Viewer,1742,TRUE,NA,NA
0,W Yang,Essays on Corporate Bond Return and Firm Earning Predictability,2025,NA,search.proquest.com,https://search.proquest.com/openview/1ba860e54e125fdce20ad9933e2f2099/1?pq-origsite=gscholar&cbl=18750&diss=y,NA,16,2025-09-15,NA,NA,0,0,0,1,1,"In the first chapter of my dissertation, I propose a dynamic asset pricing model to shed light on the anomalies documented in the corporate bond literature. The model features a …",NA,https://scholar.google.com/scholar?q=related:eqoRMEI3jb0J:scholar.google.com/&scioq=%22climate+risk+viewer%22%7C%22usda+climate+risk+viewer%22%7C%22forest+service+climate+risk+viewer%22%7C%22usfs+climate+risk+viewer%22%7C%22climate+risk+mapping+tool+usda%22%7C%22usda+risk+viewer+climate%22%7C%22usda+climate+risk+tool%22%7C%22climate+risk+beta+viewer%22&hl=en&as_sdt=2007&as_ylo=2023&as_yhi=2025,crv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Climate Risk Viewer,1748,TRUE,NA,NA
5,V Lalwani,"Climate risks, corporate bonds, and economic uncertainty",2024,Economics Letters,Elsevier,https://www.sciencedirect.com/science/article/pii/S0165176524004683,https://scholar.google.com/scholar?cites=6118956359153565897&as_sdt=2005&sciodt=2007&hl=en,13,2025-09-15,NA,NA,5,5,5,1,1,"We test for the existence of climate change risks in corporate bond returns. Using risk factors based on textual analysis of news articles, we estimate the sensitivity of bonds to climate …",https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4978479,https://scholar.google.com/scholar?q=related:yUB3l2Pm6lQJ:scholar.google.com/&scioq=%22climate+risk+viewer%22%7C%22usda+climate+risk+viewer%22%7C%22forest+service+climate+risk+viewer%22%7C%22usfs+climate+risk+viewer%22%7C%22climate+risk+mapping+tool+usda%22%7C%22usda+risk+viewer+climate%22%7C%22usda+climate+risk+tool%22%7C%22climate+risk+beta+viewer%22&hl=en&as_sdt=2007&as_ylo=2023&as_yhi=2025,crv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Climate Risk Viewer,1747,TRUE,NA,NA
13,"H Jung, RF Engle, S Ge, X Zeng",Measuring the climate risk exposure of insurers,2023,NA,econstor.eu,https://www.econstor.eu/handle/10419/284026,https://scholar.google.com/scholar?cites=18037007135818056514&as_sdt=2005&sciodt=2007&hl=en,6,2025-09-15,NA,NA,13,6.5,3,4,2,Insurance companies can be exposed to climate-related physical risk through their operations and to transition risk through their $12 trillion of financial asset holdings. We assess the …,https://www.econstor.eu/bitstream/10419/284026/1/sr1066.pdf,https://scholar.google.com/scholar?q=related:QgOfBW1SUPoJ:scholar.google.com/&scioq=%22climate+risk+viewer%22%7C%22usda+climate+risk+viewer%22%7C%22forest+service+climate+risk+viewer%22%7C%22usfs+climate+risk+viewer%22%7C%22climate+risk+mapping+tool+usda%22%7C%22usda+risk+viewer+climate%22%7C%22usda+climate+risk+tool%22%7C%22climate+risk+beta+viewer%22&hl=en&as_sdt=2007&as_ylo=2023&as_yhi=2025,crv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Climate Risk Viewer,1736,TRUE,NA,NA
