publisher,n
search.proquest.com,185
osti.gov,121
Elsevier,101
HeinOnline,89
Springer,71
papers.ssrn.com,59
Taylor &Francis,54
liebertpub.com,50
Wiley Online Library,41
escholarship.org,34
rosap.ntl.bts.gov,34
iopscience.iop.org,33
mdpi.com,33
nature.com,29
frontiersin.org,28
journals.sagepub.com,26
books.google.com,21
academic.oup.com,18
deepblue.lib.umich.edu,16
ascelibrary.org,15
ACS Publications,14
researchgate.net,14
urban.org,13
ntrs.nasa.gov,12
ui.adsabs.harvard.edu,12
dukespace.lib.duke.edu,11
pmc.ncbi.nlm.nih.gov,11
ieeexplore.ieee.org,10
journals.uchicago.edu,10
ehp.niehs.nih.gov,9
repositories.lib.utexas.edu,9
taylorfrancis.com,9
peer.asee.org,8
repository.library.noaa.gov,8
search.ebscohost.com,8
vtechworks.lib.vt.edu,8
arxiv.org,7
cambridge.org,7
jamanetwork.com,7
journals.lww.com,7
JSTOR,6
aceee.org,6
atsjournals.org,6
digitalcommons.unl.edu,6
direct.mit.edu,6
ideals.illinois.edu,6
ir.library.oregonstate.edu,6
journals.plos.org,6
minds.wisconsin.edu,6
research.fs.usda.gov,6
rff.org,6
upload.wikimedia.org,6
academiccommons.columbia.edu,5
ahajournals.org,5
cdr.lib.unc.edu,5
essopenarchive.org,5
go.gale.com,5
law.berkeley.edu,5
scholarscompass.vcu.edu,5
aacrjournals.org,4
ageconsearch.umn.edu,4
annualreviews.org,4
apha.confex.com,4
bren.ucsb.edu,4
cell.com,4
core.ac.uk,4
dspace.mit.edu,4
ingentaconnect.com,4
library.oapen.org,4
meridian.allenpress.com,4
par.nsf.gov,4
pnas.org,4
repository.gatech.edu,4
scholarworks.umt.edu,4
thelancet.com,4
wri.org,4
wyoscholar.uwyo.edu,4
Scientific Research Publishing,3
accesswater.org,3
atlaspolicy.com,3
catalysis.eprints.iitm.ac.in,3
conservancy.umn.edu,3
cpr-assets.s3.amazonaws.com,3
digital.lib.washington.edu,3
dpceonline.it,3
eartharxiv.org,3
epa.gov,3
intechopen.com,3
jacionline.org,3
jscholarship.library.jhu.edu,3
ncbi.nlm.nih.gov,3
psycnet.apa.org,3
repository.upenn.edu,3
scholarworks.calstate.edu,3
search.issuelab.org,3
shareok.org,3
thieme-connect.com,3
World Scientific,2
academia.edu,2
ajph.aphapublications.org,2
api.mountainscholar.org,2
apps.ecology.wa.gov,2
auf.isa-arbor.com,2
authorea.com,2
baylor-ir.tdl.org,2
biorxiv.org,2
c2es.org,2
cdn.catf.us,2
cec.org,2
cedar.wwu.edu,2
climatejustice.ubc.ca,2
coloradoriverrecovery.org,2
dash.harvard.edu,2
dbpia.co.kr,2
digitalcommons.humboldt.edu,2
digitalcommons.law.lsu.edu,2
digitalcommons.wku.edu,2
digitalrepository.unm.edu,2
dl.acm.org,2
eap.wisc.edu,2
econstor.eu,2
emerald.com,2
engrxiv.org,2
espis.boem.gov,2
hollowaygroup.org,2
ir.library.louisville.edu,2
irlaw.umkc.edu,2
iwaponline.com,2
journals.ametsoc.org,2
knowledge.uchicago.edu,2
media.rff.org,2
muse.jhu.edu,2
nap.nationalacademies.org,2
nicholasinstitute.duke.edu,2
nrdc.org,2
nwarpc.org,2
policycommons.net,2
povertyactionlab.org,2
prpr.cni.re.kr,2
pubs.usgs.gov,2
railcdc.org,2
rave.ohiolink.edu,2
rd.usda.gov,2
researchsquare.com,2
scholar.archive.org,2
scholarworks.umass.edu,2
sciencepolicyjournal.org,2
trid.trb.org,2
twj-ojs-tdl.tdl.org,2
ucs.org,2
CEQ,1
ERIC,1
Google Patents,1
The Korean Association of …,1
White House press release …,1
acpjournals.org,1
aeaweb.org,1
airalliancehouston.org,1
ajconline.org,1
amargosaconservancy.org,1
amjtransplant.org,1
anacostiariverkeeper.org,1
api.taylorfrancis.com,1
arch.umd.edu,1
asset.pearlcertification.com,1
bakerbotts.com,1
bio-conferences.org,1
boem.gov,1
brill.com,1
cabidigitallibrary.org,1
cdc.gov,1
cdt.org,1
cebra.s3.amazonaws.com,1
cfm.va.gov,1
chargevc.org,1
chem.tti.tamu.edu,1
chemrxiv.org,1
chhs.fresnostate.edu,1
china-ces.org,1
climateadvocacylab.org,1
cnu.org,1
coastal.la.gov,1
columbiascwater.net,1
copi.helunahealth.org,1
cris.unibo.it,1
criticalcare.theclinics.com,1
criticaldebateshsgj.scholasticahq …,1
csus.edu,1
cureus.com,1
dhhs.utah.gov,1
digital.library.ncat.edu,1
digital.wpi.edu,1
digitalcommons.calpoly.edu,1
digitalcommons.conncoll.edu,1
digitalcommons.csumb.edu,1
digitalcommons.du.edu,1
digitalcommons.library.umaine.edu,1
digitalcommons.lmu.edu,1
digitalcommons.memphis.edu,1
digitalcommons.mtech.edu,1
digitalcommons.mtu.edu,1
digitalcommons.pace.edu,1
digitalcommons.unmc.edu,1
digitalcommons.uri.edu,1
digitalcommons.usu.edu,1
digitalshowcase.lynchburg.edu,1
dione.lib.unipi.gr,1
docs.lib.purdue.edu,1
drum.lib.umd.edu,1
dshousing.org,1
ecoevorxiv.org,1
econ.unm.edu,1
efifoundation.org,1
elischolar.library.yale.edu,1
energy.gov,1
energyfuturesinitiative.org,1
eprints.lse.ac.uk,1
essd.copernicus.org,1
eta-publications.lbl.gov,1
etd.library.emory.edu,1
etda.libraries.psu.edu,1
extension.illinois.edu,1
faa.gov,1
floridadep.gov,1
flyipt.com,1
friendsoftheinyo.org,1
fs.usda.gov,1
garnetenergycenter.com,1
grda.com,1
greatcitymississippi.org,1
greenlining.org,1
hammer.purdue.edu,1
hbs.edu,1
healthaffairs.org,1
implementationscience …,1
inldigitallibrary.inl.gov,1
innovation.luskin.ucla.edu,1
ir.lawnet.fordham.edu,1
isps.yale.edu,1
istes.org,1
j-kosham.or.kr,1
jacc.org,1
janeway.uncpress.org,1
